"Time( 07)","Access point","SSID","Client","Category","Event type","Details"
"Dec 16 08:03:15","KhuB_B004","UTH","06606305-3921-4cff-93f1-5e7a2b71edf4","802.11","802.11 disassociation","""client not responding"""
"Dec 16 08:03:15","KhuB_B210","","hieenf","Network-Based Application Recognition","Layer 7 firewall rule","""Source IP: 10.233.227.230, Source Port: 48382, Destination IP: 163.70.159.42"""
"Dec 16 08:03:15","KhuD_D104","UTH","be:df:3c:b8:d3:16","802.11","802.11 disassociation","""client was deauthenticated"""
"Dec 16 08:03:14","KhuB_B210","","LAPTOP-TH96IHNG","Network-Based Application Recognition","Layer 7 firewall rule","""Source IP: 10.48.218.17, Source Port: 60167, Destination IP: 23.45.207.198"""
"Dec 16 08:03:14","KhuC_C205","","MACs-MacBook-Pro-2","Network-Based Application Recognition","Layer 7 firewall rule","""Source IP: 10.38.68.250, Source Port: 50853, Destination IP: 23.45.207.198"""
"Dec 16 08:03:14","KhuB_B309","UTH","6e:00:ec:7d:88:5f","802.11","802.11 disassociation","""client not responding"""
"Dec 16 08:03:14","KhuB_B210","","POCO-F5","Network-Based Application Recognition","Layer 7 firewall rule","""Source IP: 10.188.239.9, Source Port: 40674, Destination IP: 163.70.159.42"""
"Dec 16 08:03:14","KhuC_C209","UTH","ThanhT-m","802.1X","802.1X authentication","""radio: 1, vap: 3, client_mac: 28:D0:43:D3:93:17"""
"Dec 16 08:03:14","KhuC_C209","UTH","ThanhT-m","802.11","802.11 association","""channel: 100, rssi: 20, band: 5"""
"Dec 16 08:03:14","KhuC_C205","UTH","44a3a46d-0f8c-4b97-b411-9343f55d3a3c","802.11","802.11 disassociation","""client has left AP"""
"Dec 16 08:03:14","KhuB_B210","","POCO-F5","Network-Based Application Recognition","Layer 7 firewall rule","""Source IP: 10.188.239.9, Source Port: 41691, Destination IP: 163.70.159.42"""
"Dec 16 08:03:14","KhuC_C205","","44a3a46d-0f8c-4b97-b411-9343f55d3a3c","Network-Based Application Recognition","Layer 7 firewall rule","""Source IP: 10.67.233.44, Source Port: 58719, Destination IP: 163.70.159.13"""
"Dec 16 08:03:14","KhuC_C205","","44a3a46d-0f8c-4b97-b411-9343f55d3a3c","Network-Based Application Recognition","Layer 7 firewall rule","""Source IP: 10.67.233.44, Source Port: 60498, Destination IP: 163.70.159.35"""
"Dec 16 08:03:14","KhuC_C209","UTH","ThanhT-m","802.11","802.11 disassociation","""client has left AP"""
"Dec 16 08:03:14","KhuB_B304","","9e:09:f7:21:a8:42","Network-Based Application Recognition","Layer 7 firewall rule","""Source IP: 10.128.138.46, Source Port: 53839, Destination IP: 17.248.224.27"""
"Dec 16 08:03:13","KhuA_L1_HoiTruong2","","52:db:40:f0:5f:04","Events dropped","Events dropped","""287 events were not logged. <i class='asx_p fa fa-info-circle auto_hohelp events_dropped' alt='[Help]' />"""
"Dec 16 08:03:13","KhuB_B210","","hieenf","Network-Based Application Recognition","Layer 7 firewall rule","""Source IP: 10.233.227.230, Source Port: 48380, Destination IP: 163.70.159.42"""
"Dec 16 08:03:13","KhuC_C106","","Android","Events dropped","Events dropped","""104 events were not logged. <i class='asx_p fa fa-info-circle auto_hohelp events_dropped' alt='[Help]' />"""
"Dec 16 08:03:13","KhuB_B104","UTH","06606305-3921-4cff-93f1-5e7a2b71edf4","802.11","802.11 association","""channel: 64, rssi: 30, band: 5"""
"Dec 16 08:03:13","KhuB_B104","UTH","06606305-3921-4cff-93f1-5e7a2b71edf4","802.1X","802.1X authentication","""radio: 1, vap: 3, client_mac: 0A:E3:7E:B4:79:29"""
"Dec 16 08:03:13","KhuF_F202","","Android_UPVCFHFU","Events dropped","Events dropped","""74 events were not logged. <i class='asx_p fa fa-info-circle auto_hohelp events_dropped' alt='[Help]' />"""
"Dec 16 08:03:13","KhuF_F202","","V2110","Events dropped","Events dropped","""109 events were not logged. <i class='asx_p fa fa-info-circle auto_hohelp events_dropped' alt='[Help]' />"""
"Dec 16 08:03:13","KhuA_L1_Server","","Android_RT3SOFTP","Network-Based Application Recognition","Layer 7 firewall rule","""Source IP: 10.203.65.123, Source Port: 38030, Destination IP: 216.239.36.223"""
"Dec 16 08:03:13","KhuA_L1_HoiTruong1","UTH","fa:91:3f:b5:35:56","802.1X","802.1X authentication","""radio: 2, vap: 3, client_mac: FA:91:3F:B5:35:56"""
"Dec 16 08:03:13","KhuA_L1_Server","","Android_RT3SOFTP","Network-Based Application Recognition","Layer 7 firewall rule","""Source IP: 10.203.65.123, Source Port: 38032, Destination IP: 216.239.36.223"""
"Dec 16 08:03:13","KhuA_L1_HoiTruong1","UTH","fa:91:3f:b5:35:56","802.11","802.11 association","""channel: 100, rssi: 37, band: 5"""
"Dec 16 08:03:13","KhuD_D503","","Android_C2QUEQ7P","Network-Based Application Recognition","Layer 7 firewall rule","""Source IP: 10.220.213.81, Source Port: 55252, Destination IP: 57.144.160.144"""
"Dec 16 08:03:13","KhuB_B210","","hieenf","Events dropped","Events dropped","""65 events were not logged. <i class='asx_p fa fa-info-circle auto_hohelp events_dropped' alt='[Help]' />"""
"Dec 16 08:03:12","KhuB_B211","UTH","a6:06:1f:a7:6f:70","802.11","802.11 disassociation","""client not responding"""
"Dec 16 08:03:12","KhuC_C205","","MACs-MacBook-Pro-2","Network-Based Application Recognition","Layer 7 firewall rule","""Source IP: 10.38.68.250, Source Port: 50855, Destination IP: 163.70.159.7"""
"Dec 16 08:03:12","KhuA_L1_HoiTruong1","","ea86c448-3510-4845-9032-31eabc75ad38","Events dropped","Events dropped","""9 events were not logged. <i class='asx_p fa fa-info-circle auto_hohelp events_dropped' alt='[Help]' />"""
"Dec 16 08:03:12","KhuC_C205","","POCO-F5","Network-Based Application Recognition","Layer 7 firewall rule","""Source IP: 10.228.111.50, Source Port: 46034, Destination IP: 163.70.159.13"""
"Dec 16 08:03:12","KhuC_C205","","Android-5","Network-Based Application Recognition","Layer 7 firewall rule","""Source IP: 10.21.204.5, Source Port: 50730, Destination IP: 163.70.159.42"""
"Dec 16 08:03:12","KhuC_C009","","Android_ec47747680a2497e90ce0a6922a49989","Network-Based Application Recognition","Layer 7 firewall rule","""Source IP: 10.30.201.224, Source Port: 40796, Destination IP: 163.70.159.42"""
"Dec 16 08:03:12","KhuF_F301","","76:95:75:d9:2d:32","Network-Based Application Recognition","Layer 7 firewall rule","""Source IP: 10.73.163.69, Source Port: 51930, Destination IP: 17.248.224.68"""
"Dec 16 08:03:12","KhuF_F301","","76:95:75:d9:2d:32","Network-Based Application Recognition","Layer 7 firewall rule","""Source IP: 10.73.163.69, Source Port: 51929, Destination IP: 17.248.224.13"""
"Dec 16 08:03:12","KhuC_C205","","Android-5","Network-Based Application Recognition","Layer 7 firewall rule","""Source IP: 10.21.204.5, Source Port: 42337, Destination IP: 163.70.159.42"""
"Dec 16 08:03:12","KhuE_E103","UTH","b6:75:3c:7d:84:61","802.11","802.11 disassociation","""client not responding"""
"Dec 16 08:03:12","KhuF_F301","","Admin-PC","Events dropped","Events dropped","""50 events were not logged. <i class='asx_p fa fa-info-circle auto_hohelp events_dropped' alt='[Help]' />"""
"Dec 16 08:03:12","KhuC_C205","","MACs-MacBook-Pro-2","Network-Based Application Recognition","Layer 7 firewall rule","""Source IP: 10.38.68.250, Source Port: 50854, Destination IP: 23.45.207.198"""
"Dec 16 08:03:12","KhuC_C009","","1050b2c6-1e4d-43a6-b92e-ebad95e513e6","Network-Based Application Recognition","Layer 7 firewall rule","""Source IP: 10.37.86.240, Source Port: 62447, Destination IP: 17.248.224.65"""
"Dec 16 08:03:12","KhuC_C009","","Android_ec47747680a2497e90ce0a6922a49989","Network-Based Application Recognition","Layer 7 firewall rule","""Source IP: 10.30.201.224, Source Port: 40794, Destination IP: 163.70.159.42"""
"Dec 16 08:03:12","KhuD_D401","UTH","c03c8482-73b9-40b0-a830-bb51182effbd","802.11","802.11 disassociation","""client has left AP"""
"Dec 16 08:03:12","KhuB_B004","","2039bedb-f605-4996-b6dc-ee4025e42a6f","Events dropped","Events dropped","""122 events were not logged. <i class='asx_p fa fa-info-circle auto_hohelp events_dropped' alt='[Help]' />"""
"Dec 16 08:03:12","KhuB_B004","","b61c422a-c9ae-4d71-ac78-b240dfc657e5","Events dropped","Events dropped","""241 events were not logged. <i class='asx_p fa fa-info-circle auto_hohelp events_dropped' alt='[Help]' />"""
"Dec 16 08:03:12","KhuA_L1_Server","","6e:56:13:9e:6b:ef","Network-Based Application Recognition","Layer 7 firewall rule","""Source IP: 10.242.101.58, Source Port: 52472, Destination IP: 163.70.159.7"""
"Dec 16 08:03:12","KhuB_B304","","9e:09:f7:21:a8:42","Network-Based Application Recognition","Layer 7 firewall rule","""Source IP: 10.128.138.46, Source Port: 53838, Destination IP: 17.248.224.41"""
"Dec 16 08:03:12","KhuC_C009","","Android_ec47747680a2497e90ce0a6922a49989","Network-Based Application Recognition","Layer 7 firewall rule","""Source IP: 10.30.201.224, Source Port: 51312, Destination IP: 163.70.159.42"""
"Dec 16 08:03:11","KhuC_C201","","Android","Events dropped","Events dropped","""56 events were not logged. <i class='asx_p fa fa-info-circle auto_hohelp events_dropped' alt='[Help]' />"""
"Dec 16 08:03:11","KhuA_L1_Server","","6e:56:13:9e:6b:ef","Network-Based Application Recognition","Layer 7 firewall rule","""Source IP: 10.242.101.58, Source Port: 43575, Destination IP: 163.70.159.7"""
"Dec 16 08:03:11","KhuF_F201","UTH","61a5ff55-e983-4087-9e4e-f91935a9e335","802.11","802.11 disassociation","""client not responding"""
"Dec 16 08:03:11","KhuC_C103","","Nguoi-dung-an-danh","Events dropped","Events dropped","""2802 events were not logged. <i class='asx_p fa fa-info-circle auto_hohelp events_dropped' alt='[Help]' />"""
"Dec 16 08:03:11","KhuC_C103","","44d9e6a2-87fc-4a66-94ed-3ce94ccad8eb","Events dropped","Events dropped","""30291 events were not logged. <i class='asx_p fa fa-info-circle auto_hohelp events_dropped' alt='[Help]' />"""
"Dec 16 08:03:11","KhuA_L1_Server","","6e:56:13:9e:6b:ef","Network-Based Application Recognition","Layer 7 firewall rule","""Source IP: 10.242.101.58, Source Port: 48458, Destination IP: 163.70.159.42"""
"Dec 16 08:03:11","KhuB_B010","UTH","c6:3a:22:31:2a:1e","802.1X","802.1X authentication","""radio: 1, vap: 3, client_mac: C6:3A:22:31:2A:1E"""
"Dec 16 08:03:11","KhuB_B010","UTH","c6:3a:22:31:2a:1e","802.11","802.11 association","""channel: 64, rssi: 35, band: 5"""
"Dec 16 08:03:11","KhuA_L1_Server","","Android_NPUA8RDL","Network-Based Application Recognition","Layer 7 firewall rule","""Source IP: 10.87.204.176, Source Port: 42716, Destination IP: 216.239.32.223"""
"Dec 16 08:03:11","KhuC_C205","UTH","POCO-F5","802.1X","802.1X authentication","""radio: 1, vap: 3, client_mac: 7E:88:EB:10:E5:86"""
"Dec 16 08:03:11","KhuC_C205","UTH","POCO-F5","802.11","802.11 association","""channel: 100, rssi: 32, band: 5"""
"Dec 16 08:03:11","KhuC_C202","","5153671c-321c-4bca-b16c-02fb6b647698","Events dropped","Events dropped","""121 events were not logged. <i class='asx_p fa fa-info-circle auto_hohelp events_dropped' alt='[Help]' />"""
